rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss
3.31,873,729,636928,85.73,311,0.053271484375,670.8123528003692,0.0003,-0.32327633374370635,3100,0.3846186399459839,0.0046281046,-0.0060312972018436994,0.15,248.1129608154297
3.31,873,731,638976,84.51,312,0.04814453125,750.3670647144318,0.0003,-0.3156940382439643,3110,0.3492005467414856,0.0030220742,-0.005279218307259725,0.15,338.3800354003906
3.3,873,733,641024,86.93,313,0.06025390625,901.3134892940521,0.0003,-0.3136054514441639,3120,0.33661651611328125,0.005224026,-0.009191848983391537,0.15,370.9250183105469
3.3,873,736,643072,88.13,314,0.0712890625,796.2311179399491,0.0003,-0.3078076608944684,3130,0.2998316287994385,0.0049860207,-0.0052772967988858,0.15,470.1845397949219
3.22,873,738,645120,86.95,315,0.043017578125,922.2887900352478,0.0003,-0.3019677550997585,3140,0.31061869859695435,0.0026464185,-0.005081399310438428,0.15,387.9685363769531
3.22,874,740,647168,82.0,316,0.076611328125,778.1913752555847,0.0003,-0.31129460795782504,3150,0.3777087926864624,0.0036180546,-0.006785978088737465,0.15,543.4710693359375
3.36,874,742,649216,77.42,317,0.07080078125,872.410506439209,0.0003,-0.3037215634714812,3160,0.3321174383163452,0.0035821958,-0.0077724307804601265,0.15,271.70306396484375
3.32,874,744,651264,91.52,318,0.06357421875,887.045602941513,0.0003,-0.3156584887765348,3170,0.366721510887146,0.0037064701,-0.0075620014154992535,0.15,471.86065673828125
3.25,874,746,653312,90.34,319,0.06064453125,714.471767616272,0.0003,-0.29823020067997275,3180,0.3107241988182068,0.0028030833,-0.006278597078926395,0.15,353.4026794433594
3.37,875,748,655360,82.14,320,0.062109375,793.2358578681946,0.0003,-0.2933155938051641,3190,0.30295801162719727,0.0035718281,-0.00638455031948979,0.15,324.2777099609375
3.2,875,751,657408,85.93,321,0.058203125,795.2982115745544,0.0003,-0.2921401626430452,3200,0.2769629955291748,0.004143538,-0.005858581559732556,0.15,351.4583740234375
3.32,875,753,659456,89.18,322,0.07265625,771.5669948101043,0.0003,-0.2991384180728346,3210,0.3716548681259155,0.0036482261,-0.00929914529697271,0.15,446.2890930175781
3.32,875,755,661504,81.06,323,0.053369140625,725.5643892288208,0.0003,-0.2911855768878013,3220,0.2863460183143616,0.0029447698,-0.004470771297928877,0.15,470.05291748046875
3.36,876,757,663552,89.18,324,0.071630859375,872.9324276447296,0.0003,-0.32172154234722256,3230,0.33987295627593994,0.003825779,-0.007557661517785164,0.15,211.94969177246094
3.37,876,759,665600,88.11,325,0.0443359375,893.467154455185,0.0003,-0.28041234221309425,3240,0.33076339960098267,0.0019689281,-0.004986319654562976,0.15,384.5888977050781
3.45,876,761,667648,80.97,326,0.049951171875,718.3727552890778,0.0003,-0.2828352252021432,3250,0.2589285373687744,0.002651034,-0.005389557126181899,0.15,364.89532470703125
3.38,876,764,669696,86.89,327,0.04970703125,796.0269857406616,0.0003,-0.28938174303621056,3260,0.2970479130744934,0.003197293,-0.006061637209495529,0.15,231.9392547607422
3.34,876,766,671744,89.12,328,0.06181640625,685.4487537145615,0.0003,-0.2936241756659001,3270,0.3541386127471924,0.0033339816,-0.0053296325968403835,0.15,361.37847900390625
3.28,876,768,673792,84.38,329,0.046728515625,832.5093378543854,0.0003,-0.29509272971190514,3280,0.3232908844947815,0.0022507524,-0.004642283012799453,0.15,368.0392150878906
3.36,876,771,675840,88.07,330,0.0607421875,826.1327534675598,0.0003,-0.2997501110192388,3290,0.3515777587890625,0.003183043,-0.007305482239462435,0.15,292.2394104003906
3.27,876,773,677888,88.15,331,0.055810546875,799.9777213096619,0.0003,-0.3035785668063909,3300,0.2595418095588684,0.0025371327,-0.00854617103250348,0.15,509.12152099609375
3.36,876,775,679936,74.93,332,0.06162109375,897.5440897941589,0.0003,-0.3067189714405686,3310,0.3195872902870178,0.003160286,-0.007307993744325359,0.15,266.8490295410156
3.36,876,777,681984,87.0,333,0.06337890625,878.4757238388062,0.0003,-0.31040713232941924,3320,0.3354106545448303,0.0032715006,-0.006740659856586717,0.15,632.6015625
3.27,877,779,684032,90.36,334,0.0583984375,599.4084379434586,0.0003,-0.2881365580484271,3330,0.2615521550178528,0.0032288504,-0.00604759451598511,0.15,158.36886596679688
3.4,877,782,686080,83.36,335,0.04912109375,773.5504097461701,0.0003,-0.3008076926227659,3340,0.3612256646156311,0.0027347282,-0.006214881592313759,0.15,230.5528564453125
3.41,877,784,688128,85.75,336,0.0560546875,736.1606744766235,0.0003,-0.2946270106825978,3350,0.36244142055511475,0.003547737,-0.006759698610403575,0.15,190.39199829101562
3.35,877,786,690176,92.74,337,0.064306640625,762.1514750480652,0.0003,-0.3026450993027538,3360,0.30292993783950806,0.005948182,-0.0061306632582272865,0.15,211.59786987304688
3.41,877,788,692224,88.05,338,0.047607421875,718.1911332368851,0.0003,-0.2998496363405138,3370,0.2641533613204956,0.002880794,-0.0054120562432217415,0.15,486.9064636230469
3.27,878,790,694272,85.56,339,0.05322265625,702.5210052013397,0.0003,-0.29768358953297136,3380,0.3089671730995178,0.0042834366,-0.005723492363176774,0.15,236.7484893798828
3.3,878,792,696320,90.36,340,0.0783203125,777.2117076396942,0.0003,-0.3002956490498036,3390,0.3314656615257263,0.004761356,-0.006686243289732374,0.15,523.8999633789062
3.38,878,794,698368,92.76,341,0.053759765625,792.097643661499,0.0003,-0.31591528644785283,3400,0.3351486921310425,0.0033453822,-0.004509205272916006,0.15,575.247314453125
3.41,878,797,700416,87.94,342,0.062939453125,810.6631031513214,0.0003,-0.3140738206449896,3410,0.3418980836868286,0.0040872316,-0.005513735747081227,0.15,477.6048583984375
3.53,879,799,702464,79.96,343,0.0431640625,736.0657336235047,0.0003,-0.316541583603248,3420,0.36570072174072266,0.0023269216,-0.005382199856830994,0.15,425.95269775390625
3.31,879,801,704512,89.18,344,0.08037109375,852.8136382102966,0.0003,-0.32833808441646395,3430,0.45767807960510254,0.0042384407,-0.006895984881703043,0.15,276.8653564453125
